,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
0,BANSANDER-A,Obl,,2016-01-11,25629.09,1,0.0
1,BANSANDER-A,Obl,,2016-01-13,25629.09,1,0.0
2,BANSANDER-A,Obl,,2016-01-20,25629.09,1,0.0
3,BANSANDER-A,Obl,,2016-01-24,25629.09,1,0.0
4,BANSANDER-A,Obl,,2016-02-05,25629.09,1,0.0
5,BANSANDER-A,Obl,,2016-02-16,25659.96,1,0.0
6,BANSANDER-A,Obl,,2016-02-20,25677.62,1,0.0
7,BANSANDER-A,Obl,,2016-02-29,25717.4,1,0.0
8,BANSANDER-A,Obl,,2016-03-15,25772.18,1,0.0
9,BANSANDER-A,Obl,,2016-03-24,25794.6,1,0.0
10,BANSANDER-A,Obl,,2016-04-12,25844.83,1,0.0
11,BANSANDER-A,Obl,,2016-04-20,25872.35,1,0.0
12,BANSANDER-A,Obl,,2016-04-22,25879.24,1,0.0
13,BANSANDER-A,Obl,,2016-04-24,25886.13,1,0.0
14,BANSANDER-A,Obl,,2016-04-26,25893.02,1,0.0
15,BANSANDER-A,Obl,,2016-04-27,25896.46,1,0.0
16,BANSANDER-A,Obl,,2016-04-30,25906.8,1,0.0
17,BANSANDER-A,Obl,,2016-05-01,25910.25,1,0.0
18,BANSANDER-A,Obl,,2016-05-07,25930.95,1,0.0
19,BANSANDER-A,Obl,,2016-05-08,25934.4,1,0.0
20,BANSANDER-A,Obl,,2016-05-28,25985.51,1,0.0
21,BANSANDER-A,Obl,,2016-05-30,25990.54,1,0.0
22,BANSANDER-A,Obl,,2016-06-01,25995.56,1,0.0
23,BANSANDER-A,Obl,,2016-06-07,26010.64,1,0.0
24,BANSANDER-A,Obl,,2016-06-09,26015.66,1,0.0
25,BANSANDER-A,Obl,,2016-06-16,26027.79,1,0.0
26,BANSANDER-A,Obl,,2016-06-17,26029.52,1,0.0
27,BANSANDER-A,Obl,,2016-06-24,26041.66,1,0.0
28,BANSANDER-A,Obl,,2016-06-30,26052.07,1,0.0
29,BANSANDER-A,Obl,,2016-07-07,26064.22,1,0.0
30,BANSANDER-A,Obl,,2016-07-12,26077.76,1,0.0
31,BANSANDER-A,Obl,,2016-07-13,26081.12,1,0.0
32,BANSANDER-A,Obl,,2016-07-16,26091.2,1,0.0
33,BANSANDER-A,Obl,,2016-07-17,26094.56,1,0.0
34,BANSANDER-A,Obl,,2016-08-01,26145.01,1,0.0
35,BANSANDER-A,Obl,,2016-08-06,26161.85,1,0.0
36,BANSANDER-A,Obl,,2016-08-08,26168.59,1,0.0
37,BANSANDER-A,Obl,,2016-08-15,26182.08,1,0.0
38,BANSANDER-A,Obl,,2016-08-17,26185.46,1,0.0
39,BANSANDER-A,Obl,,2016-08-24,26197.27,1,0.0
40,BANSANDER-A,Obl,,2016-09-01,26210.79,1,0.0
