,Asset,RVRF,cantidad,Run Fondo
0,NAC,RF,5.77,CAPITAL-A
1,NAC,RF,4.78,CUPRUM-A
2,NAC,RF,6.21,HABITAT-A
3,NAC,RF,5.07,MODELO-A
4,NAC,RF,5.47,PLANVITAL-A
5,NAC,RF,3.7800000000000002,PROVIDA-A
6,NAC,RF,5.21,TOTAL-A
7,NAC,RF,24.44,CAPITAL-B
8,NAC,RF,23.69,CUPRUM-B
9,NAC,RF,24.83,HABITAT-B
10,NAC,RF,24.61,MODELO-B
11,NAC,RF,24.26,PLANVITAL-B
12,NAC,RF,22.56,PROVIDA-B
13,NAC,RF,24.01,TOTAL-B
14,NAC,RF,44.34,CAPITAL-C
15,NAC,RF,43.44,CUPRUM-C
16,NAC,RF,45.3,HABITAT-C
17,NAC,RF,43.73,MODELO-C
18,NAC,RF,43.28,PLANVITAL-C
19,NAC,RF,43.59,PROVIDA-C
20,NAC,RF,44.2,TOTAL-C
21,NAC,RF,66.77,CAPITAL-D
22,NAC,RF,65.19,CUPRUM-D
23,NAC,RF,68.29,HABITAT-D
24,NAC,RF,65.05,MODELO-D
25,NAC,RF,65.31,PLANVITAL-D
26,NAC,RF,65.44,PROVIDA-D
27,NAC,RF,66.38,TOTAL-D
28,NAC,RF,90.35,CAPITAL-E
29,NAC,RF,88.88,CUPRUM-E
30,NAC,RF,92.09,HABITAT-E
31,NAC,RF,88.3,MODELO-E
32,NAC,RF,90.29,PLANVITAL-E
33,NAC,RF,90.35,PROVIDA-E
34,NAC,RF,90.36,TOTAL-E
35,EXT,RF,15.7,CAPITAL-A
36,EXT,RF,15.65,CUPRUM-A
37,EXT,RF,14.75,HABITAT-A
38,EXT,RF,15.92,MODELO-A
39,EXT,RF,15.88,PLANVITAL-A
40,EXT,RF,16.58,PROVIDA-A
41,EXT,RF,15.6,TOTAL-A
42,EXT,RF,16.66,CAPITAL-B
43,EXT,RF,16.92,CUPRUM-B
44,EXT,RF,15.37,HABITAT-B
45,EXT,RF,16.84,MODELO-B
46,EXT,RF,17.52,PLANVITAL-B
47,EXT,RF,17.55,PROVIDA-B
48,EXT,RF,16.63,TOTAL-B
49,EXT,RF,16.06,CAPITAL-C
50,EXT,RF,16.93,CUPRUM-C
51,EXT,RF,15.15,HABITAT-C
52,EXT,RF,17.81,MODELO-C
53,EXT,RF,16.81,PLANVITAL-C
54,EXT,RF,16.63,PROVIDA-C
55,EXT,RF,16.19,TOTAL-C
56,EXT,RF,14.62,CAPITAL-D
57,EXT,RF,15.39,CUPRUM-D
58,EXT,RF,13.14,HABITAT-D
59,EXT,RF,16.08,MODELO-D
60,EXT,RF,15.6,PLANVITAL-D
61,EXT,RF,15.1,PROVIDA-D
62,EXT,RF,14.59,TOTAL-D
63,EXT,RF,4.82,CAPITAL-E
64,EXT,RF,6.23,CUPRUM-E
65,EXT,RF,2.66,HABITAT-E
66,EXT,RF,7.04,MODELO-E
67,EXT,RF,5.03,PLANVITAL-E
68,EXT,RF,4.57,PROVIDA-E
69,EXT,RF,4.65,TOTAL-E
70,NAC,RV,17.76,CAPITAL-A
71,NAC,RV,17.01,CUPRUM-A
72,NAC,RV,16.98,HABITAT-A
73,NAC,RV,16.0,MODELO-A
74,NAC,RV,16.88,PLANVITAL-A
75,NAC,RV,16.73,PROVIDA-A
76,NAC,RV,17.03,TOTAL-A
77,NAC,RV,16.42,CAPITAL-B
78,NAC,RV,15.57,CUPRUM-B
79,NAC,RV,15.82,HABITAT-B
80,NAC,RV,14.86,MODELO-B
81,NAC,RV,15.29,PLANVITAL-B
82,NAC,RV,15.33,PROVIDA-B
83,NAC,RV,15.65,TOTAL-B
84,NAC,RV,12.46,CAPITAL-C
85,NAC,RV,11.53,CUPRUM-C
86,NAC,RV,11.86,HABITAT-C
87,NAC,RV,10.84,MODELO-C
88,NAC,RV,12.33,PLANVITAL-C
89,NAC,RV,11.27,PROVIDA-C
90,NAC,RV,11.72,TOTAL-C
91,NAC,RV,5.4,CAPITAL-D
92,NAC,RV,5.38,CUPRUM-D
93,NAC,RV,5.37,HABITAT-D
94,NAC,RV,4.9,MODELO-D
95,NAC,RV,5.22,PLANVITAL-D
96,NAC,RV,4.94,PROVIDA-D
97,NAC,RV,5.22,TOTAL-D
98,NAC,RV,2.33,CAPITAL-E
99,NAC,RV,2.51,CUPRUM-E
100,NAC,RV,2.58,HABITAT-E
101,NAC,RV,2.3,MODELO-E
102,NAC,RV,2.39,PLANVITAL-E
103,NAC,RV,2.18,PROVIDA-E
104,NAC,RV,2.42,TOTAL-E
105,EXT,RV,61.29,CAPITAL-A
106,EXT,RV,63.22,CUPRUM-A
107,EXT,RV,62.22,HABITAT-A
108,EXT,RV,63.47,MODELO-A
109,EXT,RV,62.21,PLANVITAL-A
110,EXT,RV,63.27,PROVIDA-A
111,EXT,RV,62.57,TOTAL-A
112,EXT,RV,43.09,CAPITAL-B
113,EXT,RV,44.45,CUPRUM-B
114,EXT,RV,44.25,HABITAT-B
115,EXT,RV,44.11,MODELO-B
116,EXT,RV,43.37,PLANVITAL-B
117,EXT,RV,45.04,PROVIDA-B
118,EXT,RV,44.19,TOTAL-B
119,EXT,RV,27.55,CAPITAL-C
120,EXT,RV,28.65,CUPRUM-C
121,EXT,RV,27.92,HABITAT-C
122,EXT,RV,27.97,MODELO-C
123,EXT,RV,27.86,PLANVITAL-C
124,EXT,RV,28.84,PROVIDA-C
125,EXT,RV,28.24,TOTAL-C
126,EXT,RV,13.78,CAPITAL-D
127,EXT,RV,14.49,CUPRUM-D
128,EXT,RV,13.52,HABITAT-D
129,EXT,RV,14.31,MODELO-D
130,EXT,RV,14.36,PLANVITAL-D
131,EXT,RV,14.98,PROVIDA-D
132,EXT,RV,14.25,TOTAL-D
133,EXT,RV,2.69,CAPITAL-E
134,EXT,RV,2.43,CUPRUM-E
135,EXT,RV,2.44,HABITAT-E
136,EXT,RV,2.46,MODELO-E
137,EXT,RV,2.44,PLANVITAL-E
138,EXT,RV,2.91,PROVIDA-E
139,EXT,RV,2.5700000000000003,TOTAL-E
140,Otro,Otro,-0.53,CAPITAL-A
141,Otro,Otro,-0.66,CUPRUM-A
142,Otro,Otro,-0.15999999999999998,HABITAT-A
143,Otro,Otro,-0.46,MODELO-A
144,Otro,Otro,-0.43000000000000005,PLANVITAL-A
145,Otro,Otro,-0.36,PROVIDA-A
146,Otro,Otro,-0.42000000000000004,TOTAL-A
147,Otro,Otro,-0.61,CAPITAL-B
148,Otro,Otro,-0.63,CUPRUM-B
149,Otro,Otro,-0.27,HABITAT-B
150,Otro,Otro,-0.42,MODELO-B
151,Otro,Otro,-0.44,PLANVITAL-B
152,Otro,Otro,-0.49000000000000005,PROVIDA-B
153,Otro,Otro,-0.4700000000000001,TOTAL-B
154,Otro,Otro,-0.42,CAPITAL-C
155,Otro,Otro,-0.55,CUPRUM-C
156,Otro,Otro,-0.22999999999999998,HABITAT-C
157,Otro,Otro,-0.35000000000000003,MODELO-C
158,Otro,Otro,-0.27,PLANVITAL-C
159,Otro,Otro,-0.33,PROVIDA-C
160,Otro,Otro,-0.36000000000000004,TOTAL-C
161,Otro,Otro,-0.5599999999999999,CAPITAL-D
162,Otro,Otro,-0.45,CUPRUM-D
163,Otro,Otro,-0.32000000000000006,HABITAT-D
164,Otro,Otro,-0.34,MODELO-D
165,Otro,Otro,-0.5,PLANVITAL-D
166,Otro,Otro,-0.46,PROVIDA-D
167,Otro,Otro,-0.45000000000000007,TOTAL-D
168,Otro,Otro,-0.19,CAPITAL-E
169,Otro,Otro,-0.04999999999999999,CUPRUM-E
170,Otro,Otro,0.24,HABITAT-E
171,Otro,Otro,-0.10999999999999999,MODELO-E
172,Otro,Otro,-0.16,PLANVITAL-E
173,Otro,Otro,-0.010000000000000009,PROVIDA-E
174,Otro,Otro,0.009999999999999981,TOTAL-E
175,NAC,RF,95.01999999999997,8011
176,NAC,RF,92.63400000000004,8023
177,NAC,RF,74.38600000000002,8026
178,NAC,RF,92.32800000000002,8028
179,NAC,RF,97.49999999999999,8029
180,EXT,RV,43.458999999999996,8032
181,NAC,RF,17.714999999999996,8032
182,NAC,RV,36.110000000000014,8032
183,NAC,RF,91.60300000000001,8035
184,NAC,RF,99.98900000000005,8036
185,NAC,RF,99.64399999999998,8037
186,NAC,RF,1.689,8038
187,NAC,RV,98.00399999999998,8038
188,NAC,RV,94.11200000000001,8043
189,NAC,RF,99.727,8045
190,NAC,RF,0.865,8046
191,NAC,RV,99.04299999999999,8046
192,NAC,RF,86.08300000000001,8048
193,NAC,RF,99.772,8049
194,NAC,RF,89.033,8050
195,NAC,RF,91.39900000000002,8052
196,NAC,RF,95.86600000000003,8053
197,EXT,RV,97.25299999999997,8054
198,NAC,RV,1.176,8054
199,NAC,RF,99.71500000000002,8055
200,NAC,RF,91.38700000000003,8057
201,EXT,RV,96.58599999999998,8058
202,NAC,RF,1.7220000000000002,8058
203,NAC,RF,94.97600000000001,8059
204,NAC,RV,97.91300000000001,8062
205,NAC,RF,98.51400000000007,8063
206,NAC,RF,99.88400000000003,8064
207,NAC,RF,0.146,8074
208,NAC,RV,99.41999999999997,8074
209,NAC,RF,0.322,8076
210,NAC,RV,99.33000000000001,8076
211,NAC,RF,72.53300000000004,8077
212,NAC,RF,0.452,8077
213,EXT,RV,98.142,8078
214,NAC,RF,0.985,8078
215,NAC,RF,86.09899999999999,8082
216,NAC,RF,0.5640000000000001,8082
217,EXT,RV,92.55299999999998,8088
218,NAC,RF,94.54900000000018,8089
219,EXT,RV,96.685,8090
220,NAC,RF,1.6469999999999998,8090
221,NAC,RF,99.987,8092
222,EXT,RV,98.05000000000004,8097
223,NAC,RF,0.6450000000000001,8097
224,EXT,RV,86.09999999999998,8098
225,NAC,RF,0.727,8098
226,NAC,RV,10.322,8098
227,NAC,RF,99.04599999999989,8100
228,NAC,RF,96.84899999999998,8102
229,NAC,RF,99.70000000000002,8104
230,NAC,RF,98.85500000000005,8105
231,NAC,RF,92.501,8106
232,NAC,RF,98.72800000000008,8107
233,NAC,RF,99.98800000000007,8108
234,NAC,RF,98.358,8111
235,EXT,RV,97.70400000000001,8113
236,NAC,RF,1.7610000000000001,8113
237,EXT,RV,99.13700000000001,8114
238,NAC,RF,76.11199999999998,8115
239,EXT,RV,33.074999999999996,8116
240,NAC,RF,55.467,8116
241,NAC,RV,8.870000000000001,8116
242,NAC,RF,96.85299999999998,8117
243,NAC,RF,97.83399999999999,8118
244,NAC,RF,9.748000000000001,8119
245,NAC,RV,90.099,8119
246,NAC,RF,91.18199999999997,8125
247,NAC,RF,93.76099999999997,8127
248,EXT,RV,97.557,8129
249,NAC,RF,99.93200000000003,8130
250,EXT,RV,96.956,8131
251,EXT,RV,83.22,8133
252,NAC,RF,9.225000000000001,8133
253,NAC,RV,6.181,8133
254,NAC,RF,97.895,8134
255,NAC,RF,95.287,8135
256,NAC,RF,97.37600000000003,8141
257,NAC,RF,0.077,8142
258,NAC,RV,99.50399999999999,8142
259,NAC,RF,94.08400000000012,8152
260,EXT,RV,97.19800000000001,8159
261,NAC,RF,1.5610000000000002,8159
262,EXT,RV,97.419,8160
263,NAC,RF,0.759,8160
264,NAC,RV,98.47999999999998,8170
265,EXT,RV,97.183,8172
266,NAC,RF,99.96700000000003,8174
267,NAC,RV,98.601,8176
268,NAC,RF,99.99500000000009,8177
269,EXT,RV,99.11199999999998,8178
270,EXT,RV,96.05099999999999,8183
271,NAC,RF,0.037,8183
272,NAC,RF,99.80599999999998,8187
273,EXT,RV,15.959,8188
274,NAC,RF,70.905,8188
